    663 25/tcp open  smtp?   syn-ack
      1 25/tcp open  smtp    syn-ack IceWarp smtpd 10.0.7
      1 25/tcp open  smtp    syn-ack IMail NT-ESMTP 9.21 137016-1
      1 25/tcp open  smtp    syn-ack IMail NT-ESMTP 8.22 123846-3
      1 25/tcp open  smtp    syn-ack IMail NT-ESMTP 11.02 19-1
      1 25/tcp open  smtp    syn-ack IMail NT-ESMTP 11.01 7292-1
      1 25/tcp open  smtp    syn-ack IA Mailserver smtpd
      1 25/tcp open  smtp    syn-ack Exim smtpd 4.62
      1 25/tcp open  smtp    syn-ack Exim smtpd 4.42
      1 25/tcp open  smtp    syn-ack Communigate Pro SMTP 5.2.20
      1 25/tcp open  smtp    syn-ack Code-Crafters Ability smtpd 2.63
      1 25/tcp open  smtp    syn-ack ArGoSoft Mail Server Pro 1.8.8.7
      1 25/tcp open  smtp    syn-ack ArGoSoft Freeware smtpd 1.8.8.8
      1 25/tcp open  smtp    syn-ack Alt-N MDaemon mail server 9.6.2
      1 25/tcp open  smtp    syn-ack Alt-N MDaemon mail server 9.5.6
      1 25/tcp open  smtp    syn-ack Alt-N MDaemon mail server 9.0.7
      1 25/tcp open  smtp    syn-ack Alt-N MDaemon mail server 8.1.4
      1 25/tcp open  smtp    syn-ack Alt-N MDaemon mail server 11.0.3
      1 25/tcp open  smtp    syn-ack Alt-N MDaemon mail server 11.0.2
      1 25/tcp open  smtp    syn-ack Alt-N MDaemon mail server 11.0.0
      1 25/tcp open  smtp    syn-ack Alt-N MDaemon mail server 10.0.0
      1 25/tcp open  smtp    syn-ack (Relay not authorized)
      1 25/tcp open  nagios-nsca syn-ack Nagios NSCA
      1 25/tcp open  jdwp    syn-ack
